CITY,STATE
Tervel,Dobrich
Teteven,Lovech
Topolovgrad,Haskovo
Tran,Pernik
Trilistnik,Stara Zagora
Troyan,Lovech
Tryavna,Gabrovo
Tsarevo,Burgas
Tundzha,Yambol
Tutrakan,Silistra
Tvarditsa,Sliven
Ugarchin,Lovech
Undisclosed,Unknown
VARNA,Varna
VELIKO TARNOVO,Veliko Tarnovo
VIDIN,Vidin
VRATSA,Vratsa
Valchedram,Montana
Valchi Dol,Varna
Varbitsa,Shumen
Varna,Varna
Varshets,Montana
Veliki Preslav,Shumen
Veliko Tarnovo,Veliko Tarnovo
Veliko Turnovo,Veliko Tarnovo
Velingrad,Pazardzhik
Vetovo,Ruse
Vidin,Vidin
Vraca,Vratsa
Vratsa,Vratsa
Vratza,Vratsa
YAMBOL,Yambol
Yablanitsa,Lovech
Yakimovo,Montana
Yakoruda,Blagoevgrad
Yambol,Yambol
Zavet,Razgrad
Zemen,Pernik
Zlataritsa,Veliko Tarnovo
Zlataritza,Veliko Tarnovo
Zlatitca,Veliko Tarnovo
Zlatograd,Smolyan
Zvynichevo,Sofia
sofia,Sofia-Grad
sofiia,Sofia-Grad
